"specie","metabolite usage","enzymes","ecosystem","pH","biotic relationship","cell arrangement","energy source","flagella","gram stain","growth in groups","halophilic","pathogenic","metabolism","mobility","motility","oxygen requirement","radioresistance","shape","sporulation","temperature range"
"Ehrlichia chaffeensis",NA,NA,"hostassociated, host, hostassociated, single",NA,NA,"singles","chemoorganotroph",NA,"negative",NA,NA,"pathogenic in mammals",NA,NA,NA,"strictaero",NA,NA,NA,"mesophilic"
"Mycobacterium sp. H4Y",NA,NA,"hostassociated, host",NA,NA,"singles","chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Archaeoglobus veneficus",NA,NA,"hydrothermalvents, marine, freeliving, single",NA,NA,"pairs, singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,"coccus",NA,"thermophilic"
"Sulfurimonas gotlandica",NA,NA,NA,NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anaplasma phagocytophilum",NA,NA,"hostassociated, host, hostassociated",NA,NA,"singles","chemoorganotroph",NA,"negative",NA,NA,"pathogenic in mammals",NA,NA,NA,"strictaero",NA,"coccus",NA,"mesophilic"
"Dyadobacter beijingensis",NA,"alkaline phosphatase, catalase, valine arylamidase, oxidase",NA,NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Neorickettsia risticii",NA,NA,"hostassociated, host, hostassociated",NA,NA,"singles",NA,NA,"negative",NA,NA,"pathogenic in mammals",NA,NA,NA,"strictaero",NA,NA,NA,"mesophilic"
"Neorickettsia sennetsu",NA,NA,"hostassociated, blood, host, hostassociated",NA,NA,"singles",NA,NA,"negative",NA,NA,"mammalsman, pathogenic in mammals",NA,NA,NA,"strictaero",NA,"coccus",NA,"mesophilic"
"Psychrobacter sp. PRwf-1",NA,"esterase lipase  c8",NA,NA,NA,"pairs","heterotroph",NA,"negative",NA,NA,NA,NA,NA,NA,"strictaero","radioresistance",NA,NA,NA
"alpha proteobacterium RS24",NA,"alkaline phosphatase",NA,NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Wolbachia pipientis",NA,NA,"hostassociated, host, hostassociated",NA,"symbiotic","singles",NA,NA,"negative",NA,NA,"pathogenic in mammals",NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Bdellovibrio bacteriovorus",NA,"esterase lipase  c8","host, freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Helicobacter canadensis",NA,NA,"hostassociated, host, hostassociated",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"spirilla",NA,"mesophilic"
"Bradyrhizobium genosp. SA-4","arabinose, xylose, glycerol, mannitol, arabitol, arabinose, leucine, d xylopyranoside, ribose",NA,"hostassociated, plants, rhizoplane, host, plantroot, rootnodule",NA,NA,"singles",NA,NA,"negative",NA,NA,"plantslegumes","nitrogenfixation, storespolyhydroxybutyrate","mobility",NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Geobacillus sp. GHH01","mannitol, ketoglutaric acid, glucose",NA,"environmental, freeliving",NA,NA,"singles","chemoorganotroph","flagellarpresence","positive",NA,NA,NA,NA,"mobility",NA,"facultative",NA,"bacilli","sporulation","thermophilic"
"Herbaspirillum seropedicae","glutamate, lactate, ketoglutaric acid, alanine, propionate, aspartate","alkaline phosphatase, esterase lipase  c8","plants",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Candidatus Saccharimonas aalborgensis",NA,NA,NA,NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Selenomonas ruminantium",NA,NA,"hostassociated, host",NA,NA,NA,"chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,"mesophilic"
"Candidatus Tremblaya princeps",NA,NA,"hostassociated, host",NA,"symbiotic",NA,NA,NA,"negative",NA,NA,"insectsgeneral",NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Kineosphaera limosa",NA,NA,"freeliving",NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Brachyspira innocens",NA,NA,"hostassociated, digestivesystem, host, hostassociated, single",NA,NA,NA,"chemoorganotroph",NA,"negative",NA,NA,"mammalspig",NA,NA,NA,NA,NA,"spirilla",NA,"mesophilic"
"Flavobacterium indicum","dextrin","alkaline phosphatase","freeliving",NA,NA,NA,"chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cellulophaga lytica","salicin","alkaline phosphatase, esterase lipase  c8","freeliving",NA,NA,NA,"chemoheterotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Emticicia oligotrophica","salicin","valine arylamidase","freeliving",NA,NA,NA,"chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Hyphomicrobium sp. MC1",NA,NA,"freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Paludibacter propionicigenes",NA,"alkaline phosphatase","freeliving",NA,NA,NA,"chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Dehalobacter sp. CF",NA,NA,NA,NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,"sporulation","mesophilic"
"Pedobacter heparinus","xylose, melibiose, salicin","alkaline phosphatase, valine arylamidase","freeliving",NA,NA,NA,"chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"marine actinobacterium PHSC20C1",NA,NA,NA,NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Cytophaga hutchinsonii","salicin","esterase lipase  c8","freeliving",NA,NA,NA,"chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Flavobacterium johnsoniae","dextrin, salicin","alkaline phosphatase, esterase lipase  c8, glucosidase","freeliving",NA,NA,NA,"chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Aquimarina latercula","dextrin","esterase lipase  c8",NA,NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leeuwenhoekiella marinoflava",NA,NA,"freeliving",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marinilabilia salmonicolor",NA,"alkaline phosphatase",NA,NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Burkholderia phymatum","arabinose, glutamate, lactate, ketoglutaric acid, alanine, propionate","glucosidase, lipase  c14","hostassociated, host, hostassociated",NA,NA,"singles",NA,"flagellarpresence","negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Solitalea canadensis","xylose, salicin",NA,"freeliving",NA,NA,NA,"chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Flavobacterium columnare","dextrin","alkaline phosphatase","hostassociated, host, freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Flexibacter litoralis",NA,"alkaline phosphatase, esterase  c4",NA,NA,NA,"singles","chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chloroflexus sp. Y-400-fl",NA,NA,"environmental, freshwater, freeliving, single",NA,NA,"filaments","photosynthetic, phototroph",NA,"negative","growth in groups",NA,NA,NA,NA,NA,"strictanaero",NA,"filamentous",NA,"thermophilic"
"Hyperthermus butylicus",NA,NA,"freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hyperthermophilic, thermophilic"
"Simiduia agarivorans",NA,"alkaline phosphatase, esterase lipase  c8","freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Eggerthella sp. HGA1",NA,NA,"hostassociated, human, digestivesystem, host",NA,NA,"pairs",NA,NA,"positive",NA,NA,NA,NA,NA,NA,"strictanaero",NA,"bacilli",NA,"mesophilic"
"Pyrolobus fumarii",NA,NA,"hydrothermalvents, freeliving",NA,NA,NA,NA,NA,"negative",NA,"halophilic",NA,NA,NA,NA,NA,NA,NA,NA,"thermophilic"
"Streptococcus pasteurianus","fructose, lactose, acetylglucosamine, dextrin, gentiobiose, glucose, mannose",NA,"hostassociated, human, host, fecal, hostassociated",NA,NA,"chains, pairs","chemoorganotroph",NA,"positive","growth in groups",NA,"pathogenic in mammals",NA,NA,NA,"facultative",NA,"coccus",NA,"mesophilic"
"Marivirga tractuosa",NA,NA,"freeliving",NA,NA,NA,"chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Thermosphaera aggregans",NA,NA,"environmental, freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,"coccus",NA,"hyperthermophilic, thermophilic"
"Saprospira grandis",NA,"alkaline phosphatase","freeliving",NA,NA,NA,"chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Pyrodictium abyssi",NA,NA,"hydrothermalvents, freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thermophilic"
"Leptobacterium flavescens",NA,NA,"freeliving",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amphibacillus fermentum",NA,NA,"freeliving",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ferroglobus placidus",NA,NA,"environmental, aquatic, hydrothermalvents, sediment, freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,"coccus",NA,"thermophilic"
"Weeksella virosa","dextrin","alkaline phosphatase",NA,NA,NA,NA,"chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Pseudomonas entomophila","malic acid, glutamate, malate, ketoglutaric acid, alanine, propionate, aspartate, mucic acid","esterase lipase  c8, lipase  c14, oxidase","hostassociated, host",NA,NA,"singles","heterotroph",NA,"negative",NA,NA,NA,NA,"mobility",NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Bergeyella zoohelcum","dextrin",NA,NA,NA,NA,NA,"chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Porphyromonas catoniae",NA,NA,"single",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rhodococcus triatomae",NA,NA,NA,NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"strictaero",NA,NA,NA,"mesophilic"
"Burkholderia contaminans",NA,NA,"hostassociated, host, hostassociated",NA,NA,"singles",NA,NA,"negative",NA,NA,"pathogenic in mammals",NA,NA,NA,NA,NA,"bacilli",NA,NA
"Capnocytophaga gingivalis",NA,NA,"hostassociated, host, single",NA,NA,NA,"chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Capnocytophaga ochracea",NA,NA,"hostassociated, human, oral, digestivesystem, host, humanoralcavity, hostassociated",NA,NA,NA,"chemoorganotroph",NA,"negative",NA,NA,"pathogenic in mammals",NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Bordetella trematum","ketoglutaric acid, alanine, mucic acid",NA,NA,NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Capnocytophaga sputigena",NA,NA,"hostassociated, oral, host, humanoralcavity, hostassociated",NA,NA,NA,"chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Beggiatoa alba",NA,"alkaline phosphatase",NA,NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Bacteroides cellulosilyticus",NA,NA,"hostassociated, human, largeintestine, digestivesystem, host, fecal, hostassociated, single",NA,NA,NA,"chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,"bacilli",NA,"mesophilic"
"Leuconostoc sp. C2","fructose, acetylglucosamine",NA,"foodproduction, host",NA,NA,"singles","chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"facultative",NA,"coccus",NA,NA
"Burkholderia sp. RPE64","arabinose, glutamate, sorbitol, ketoglutaric acid, propionate","alkaline phosphatase, glucosidase","host",NA,NA,"singles",NA,"flagellarpresence","negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Microscilla marina",NA,NA,NA,NA,NA,NA,"chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Thiothrix nivea",NA,"esterase lipase  c8","freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Afipia clevelandensis","d xylopyranoside",NA,NA,NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,"mobility",NA,NA,NA,"bacilli",NA,"mesophilic"
"Afipia felis",NA,"alkaline phosphatase",NA,NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Acidilobus saccharovorans",NA,NA,"environmental, freeliving, single",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thermophilic"
"Enterococcus saccharolyticus","fructose, dextrin, salicin, glucose","esterase lipase  c8","host, fecal",NA,NA,"chains","chemoorganotroph",NA,"positive","growth in groups",NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Thermus sp. CCB_US3_UF1","glutamate","glucosidase, galactosidase","freeliving, single",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thermophilic"
"Methylotenera sp. 1P/1",NA,"alkaline phosphatase","freeliving",NA,NA,"singles","methylotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Escherichia sp. KTE172","mannitol, sorbitol, trehalose, aspartate, glucose, mucic acid","esterase lipase  c8, galactosidase","hostassociated, human, fecal, digestivesystem, host, fecal, hostassociated",NA,NA,"pairs, singles","chemoorganotroph",NA,"negative",NA,NA,"enteric, urogenital, pathogenic in mammals",NA,NA,"motility","facultative",NA,"bacilli",NA,"mesophilic"
"Agromyces italicus",NA,NA,NA,NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Raoultella ornithinolytica","glutamate, glycerol, mannitol, sorbitol, trehalose, gluconate, aspartate, glucose","alkaline phosphatase, galactosidase","hostassociated, host, fecal, hostassociated",NA,NA,"pairs, singles","chemoorganotroph",NA,"negative",NA,NA,"pathogenic in mammals",NA,NA,NA,"facultative",NA,"bacilli",NA,"mesophilic"
"Sphingomonas wittichii",NA,NA,"host, freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Agrobacterium sp. H13-3","d xylopyranoside",NA,"hostassociated, plants, host, rootnodule",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,"nitrogenfixation",NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Novosphingobium pentaromativorans",NA,"alkaline phosphatase",NA,NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Allochromatium vinosum",NA,NA,"freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Chroococcidiopsis thermalis",NA,NA,"freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Halorhodospira halophila",NA,NA,"freeliving",NA,NA,"singles",NA,NA,"negative",NA,"halophilic",NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Dictyoglomus turgidum",NA,NA,"freeliving, single",NA,NA,"pairs, singles","chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,"thermophilic"
"Hydrogenophaga sp. PBC","ketoglutaric acid",NA,"freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Natrinema sp. J7-2",NA,"catalase, oxidase","freeliving, single",NA,NA,NA,"chemoorganotroph",NA,"negative",NA,"halophilic",NA,NA,NA,NA,"strictaero",NA,NA,NA,"mesophilic"
"Ralstonia sp. PBA","glutamate, ketoglutaric acid, alanine",NA,NA,NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,NA
"Rhodococcus opacus","quinic acid",NA,"freeliving",NA,NA,"filaments","chemoorganotroph",NA,"positive","growth in groups",NA,NA,NA,NA,NA,"strictaero",NA,NA,NA,"mesophilic"
"Micavibrio aeruginosavorus",NA,NA,NA,NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Hippea alviniae",NA,NA,"single",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,NA
"Acidovorax radicis","ketoglutaric acid, alanine",NA,NA,NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,NA
"Thiocapsa roseopersicina",NA,NA,"freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Budvicia aquatica",NA,NA,NA,NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Pleurocapsa minor",NA,"alkaline phosphatase","freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Rhodobacter capsulatus",NA,NA,"freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Thermocrispum agreste",NA,NA,NA,NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"strictaero",NA,NA,NA,NA
"Thermocrispum municipale",NA,NA,"freeliving",NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"strictaero",NA,NA,NA,NA
"Leptospira sp. Fiocruz LV3954",NA,NA,"hostassociated, freshwater, host",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"spirilla",NA,NA
"Rhodobacter sphaeroides",NA,"alkaline phosphatase","freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Leptospira sp. Fiocruz LV4135",NA,NA,"hostassociated, freshwater, host",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"spirilla",NA,NA
"Acidithiobacillus ferrivorans","ketoglutaric acid",NA,"mine, freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"thermophilic"
"Granulicatella adiacens",NA,NA,"hostassociated, host, hostassociated",NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rhodomicrobium vannielii",NA,NA,"freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Abiotrophia defectiva",NA,NA,"hostassociated, host, hostassociated",NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,"pathogenic in mammals",NA,NA,NA,NA,NA,NA,NA,NA
"Bacillus sonorensis","dextrin, ketoglutaric acid, glucose",NA,"freeliving",NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,"mobility",NA,NA,NA,"bacilli","sporulation","mesophilic"
"Mycoplasma haemocanis",NA,NA,"hostassociated, host, hostassociated",NA,NA,NA,NA,NA,NA,NA,NA,"pathogenic in mammals",NA,NA,NA,NA,NA,"coccus",NA,"mesophilic"
"Rhodopseudomonas palustris","xylose, turanose, leucine",NA,"freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Serratia plymuthica","glutamate, mannitol, sorbitol, trehalose, gluconate, arabinose, aspartate, glucose","alkaline phosphatase, esterase lipase  c8","hostassociated, plants, rhizoplane, host, hostassociated",NA,NA,"singles","heterotroph",NA,"negative",NA,NA,"plantsexceptlegumes",NA,"mobility","motility","facultative",NA,"bacilli",NA,"mesophilic"
"Marinomonas mediterranea",NA,"esterase lipase  c8","freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Brucella sp. 63/311",NA,"alkaline phosphatase","hostassociated, mammals, host, hostassociated",NA,NA,"chains, pairs, singles",NA,NA,"negative",NA,NA,"urogenital, pathogenic in mammals",NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Phaeospirillum molischianum",NA,NA,"freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Brucella sp. UK38/05",NA,"alkaline phosphatase","hostassociated, mammals, host, hostassociated",NA,NA,"chains, pairs, singles",NA,NA,"negative",NA,NA,"urogenital, pathogenic in mammals",NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Rhodospirillum photometricum",NA,"alkaline phosphatase","freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Planococcus donghaensis","dextrin",NA,"freeliving",NA,NA,NA,NA,NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rhodospirillum rubrum",NA,"glucosidase","freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Burkholderia mallei","glutamate, ketoglutaric acid, acetate, propionate","esterase lipase  c8, glucosidase, lipase  c14","hostassociated, host, hostassociated",NA,NA,"singles",NA,"flagellarpresence","negative",NA,NA,"mammalsman, pathogenic in mammals",NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Acidaminococcus sp. BV3L6",NA,NA,"hostassociated, host",NA,NA,NA,"chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,NA
"Atopobium sp. BV3Ac4",NA,NA,"hostassociated, human, host",NA,NA,NA,"chemoorganotroph",NA,NA,NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,"mesophilic"
"Arthrobacter castelli",NA,NA,NA,NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Chlorobium limicola",NA,NA,"freeliving",NA,NA,"singles","photosynthetic",NA,"negative",NA,NA,NA,"nitrogenfixation",NA,NA,"strictanaero",NA,NA,NA,"mesophilic"
"Desulfotignum balticum",NA,NA,"sediment",NA,NA,NA,NA,NA,"negative",NA,NA,NA,"sulfatereducer",NA,NA,"strictanaero",NA,NA,NA,"mesophilic"
"Chlorobium phaeovibrioides",NA,NA,"freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,NA
"Jonquetella sp. BV3C21",NA,NA,"hostassociated",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,NA
"Candidatus Nitrosopumilus sp. AR2",NA,NA,"freeliving",NA,NA,"singles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Chlorobium phaeobacteroides",NA,NA,"freeliving",NA,NA,"singles","photosynthetic",NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,"mesophilic"
"Winogradskyella pacifica",NA,"esterase  c4","freeliving",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chlorobaculum tepidum",NA,NA,"freeliving",NA,NA,"chains, singles","photosynthetic",NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,"mesophilic"
"Prosthecochloris vibrioformis",NA,NA,"freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pelodictyon luteolum",NA,NA,"aquatic, freeliving",NA,NA,"chains, singles","photosynthetic",NA,"negative",NA,NA,NA,"nitrogenfixation",NA,NA,NA,NA,NA,NA,"mesophilic"
"Natrialba taiwanensis",NA,"oxidase","freeliving",NA,NA,NA,"chemoorganotroph",NA,"negative",NA,"halophilic",NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Prosthecochloris aestuarii",NA,NA,"freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Coriobacterium glomerans",NA,NA,"hostassociated, host, fecal, hostassociated",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,"mesophilic"
"Coriobacteriaceae bacterium BV3Ac1",NA,NA,"hostassociated, host, fecal",NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,"mesophilic"
"Lentibacillus jeotgali","dextrin","esterase lipase  c8","freeliving",NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,NA
"Staphylococcus pseudintermedius","fructose, glycerol, lactose, dextrin, ketoglutaric acid, alanine, gluconate, acetate, glucose",NA,"hostassociated, host, hostassociated",NA,NA,"clusters, singles","chemoorganotroph",NA,"positive","growth in groups",NA,"mammalsman, pathogenic in mammals",NA,NA,NA,"facultative",NA,"coccus",NA,"mesophilic"
"Chloroflexus aurantiacus",NA,NA,"freeliving",NA,NA,"filaments","photosynthetic",NA,"negative","growth in groups",NA,NA,"nitrogenfixation",NA,NA,NA,NA,"filamentous",NA,"thermophilic"
"Gelidibacter mesophilus","dextrin, salicin","valine arylamidase",NA,NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,NA
"Agrobacterium fabrum","turanose, d xylopyranoside","alkaline phosphatase","hostassociated, rhizoplane, host, rootnodule, hostassociated",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,"nitrogenfixation","mobility",NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Oenococcus kitaharae",NA,NA,NA,NA,NA,NA,NA,NA,"positive",NA,NA,NA,NA,NA,NA,"facultative",NA,NA,NA,NA
